symbol,exchange,date,price,30d iv call,30d iv put,30d iv mean,60d iv call,60d iv put,60d iv mean,90d iv call,90d iv put,90d iv mean,120d iv call,120d iv put,120d iv mean,150d iv call,150d iv put,150d iv mean,180d iv call,180d iv put,180d iv mean,270d iv call,270d iv put,270d iv mean,360d iv call,360d iv put,360d iv mean,720d iv call,720d iv put,720d iv mean,1080d iv call,1080d iv put,1080d iv mean
AAPL,NASDAQ,09/19/14,100.96,0.2427,0.2312,0.2369,0.2688,0.2550,0.2619,0.2527,0.2408,0.2468,0.2436,0.2343,0.2390,0.2512,0.2397,0.2454,0.2561,0.2431,0.2496,0.2654,0.2536,0.2595,0.2743,0.2623,0.2683,0.3025,0.2727,0.2876,0.3085,0.2736,0.2910
AAPL,NASDAQ,09/18/14,101.79,0.2234,0.2225,0.2230,0.2584,0.2549,0.2566,0.2456,0.2411,0.2433,0.2377,0.2334,0.2355,0.2451,0.2408,0.2430,0.2500,0.2455,0.2478,0.2597,0.2561,0.2579,0.2695,0.2645,0.2670,0.3010,0.2747,0.2878,0.3078,0.2755,0.2916
AAPL,NASDAQ,09/17/14,101.58,0.2233,0.2197,0.2215,0.2646,0.2574,0.2610,0.2505,0.2445,0.2475,0.2420,0.2358,0.2389,0.2488,0.2424,0.2456,0.2536,0.2471,0.2503,0.2631,0.2575,0.2603,0.2722,0.2663,0.2693,0.3016,0.2773,0.2895,0.3080,0.2782,0.2931
AAPL,NASDAQ,09/16/14,100.86,0.2354,0.2343,0.2349,0.2707,0.2654,0.2681,0.2569,0.2517,0.2543,0.2490,0.2436,0.2463,0.2548,0.2490,0.2519,0.2592,0.2531,0.2561,0.2675,0.2615,0.2645,0.2764,0.2694,0.2729,0.3025,0.2806,0.2915,0.3078,0.2817,0.2948
AAPL,NASDAQ,09/15/14,101.63,0.2360,0.2372,0.2366,0.2696,0.2689,0.2693,0.2554,0.2541,0.2548,0.2473,0.2451,0.2462,0.2519,0.2496,0.2508,0.2559,0.2535,0.2547,0.2639,0.2614,0.2627,0.2734,0.2691,0.2712,0.3029,0.2790,0.2909,0.3091,0.2797,0.2944
AAPL,NASDAQ,09/12/14,101.66,0.2444,0.2411,0.2427,0.2723,0.2679,0.2701,0.2571,0.2518,0.2545,0.2475,0.2424,0.2450,0.2506,0.2455,0.2481,0.2545,0.2493,0.2519,0.2625,0.2578,0.2602,0.2720,0.2666,0.2693,0.2826,0.2759,0.2793,0.2826,0.2759,0.2793
AAPL,NASDAQ,09/11/14,101.43,0.2363,0.2398,0.2380,0.2653,0.2660,0.2657,0.2492,0.2475,0.2484,0.2406,0.2381,0.2394,0.2438,0.2410,0.2424,0.2478,0.2449,0.2464,0.2575,0.2548,0.2562,0.2677,0.2644,0.2660,0.2785,0.2741,0.2763,0.2785,0.2741,0.2763
AAPL,NASDAQ,09/10/14,101,0.2386,0.2385,0.2386,0.2601,0.2586,0.2593,0.2485,0.2467,0.2476,0.2397,0.2368,0.2382,0.2429,0.2391,0.2410,0.2474,0.2431,0.2452,0.2566,0.2530,0.2548,0.2661,0.2618,0.2639,0.2768,0.2704,0.2736,0.2768,0.2704,0.2736
AAPL,NASDAQ,09/09/14,97.99,0.2639,0.2600,0.2620,0.2814,0.2722,0.2768,0.2624,0.2564,0.2594,0.2524,0.2466,0.2495,0.2527,0.2468,0.2497,0.2548,0.2489,0.2518,0.2607,0.2549,0.2578,0.2691,0.2623,0.2657,0.2792,0.2705,0.2748,0.2792,0.2705,0.2748
AAPL,NASDAQ,09/08/14,98.36,0.2886,0.2884,0.2885,0.2872,0.2847,0.2860,0.2693,0.2658,0.2676,0.2569,0.2535,0.2552,0.2556,0.2517,0.2536,0.2571,0.2526,0.2548,0.2615,0.2579,0.2597,0.2680,0.2647,0.2664,0.2759,0.2719,0.2739,0.2759,0.2719,0.2739
